Part	Value	Attributes	Package	Description	Part Number	Mfg Name	VID	Vendor Part Num	Description	Pkg Code	Customer Ref	Library	Footprint	Status	XREF
R22	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R23	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R24	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R25	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R26	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R27	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R28	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R29	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R30	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
R31	1k		0603[1608]		RMCF0603JT1K00	*	*	*	*	*	*	*	*	*	*
U1	STM32F030F4		TSSOP20		STM32F030F4P6TR	*	*	*	*	*	*	*	*	*	*
